"","dig_code","dig_desc","variable","inv_07"
"1","233210","Health care structures","F06E00",""
"2","233262","Educational and vocational structures","F06E00",""
"3","2332A0","Office and commercial structures","F06E00",""
"4","233412","Multifamily residential structures","F06E00",""
"5","2334A0","Other residential structures","F06E00",""
"6","233230","Manufacturing structures","F06E00",""
"7","2332D0","Other nonresidential structures","F06E00",""
"8","233240","Power and communication structures","F06E00",""
"9","233411","Single-family residential structures","F06E00",""
"10","2332C0","Transportation structures and highways and streets","F06E00",""
"11","3219A0","All other wood product manufacturing","F06E00",""
"12","332200","Cutlery and handtool manufacturing","F06E00","4"
"13","332310","Plate work and fabricated structural product manufacturing","F06E00",""
"14","332410","Power boiler and heat exchanger manufacturing","F06E00",""
"15","332420","Metal tank (heavy gauge) manufacturing","F06E00",""
"16","332430","Metal can, box, and other metal container (light gauge) manufacturing","F06E00","2"
"17","332710","Machine shops","F06E00",""
"18","33291A","Valve and fittings other than plumbing","F06E00","443"
"19","332996","Fabricated pipe and pipe fitting manufacturing","F06E00","1"
"20","33299A","Ammunition, arms, ordnance, and accessories manufacturing","F06E00","1,852"
"21","332999","Other fabricated metal manufacturing","F06E00","6"
"22","333111","Farm machinery and equipment manufacturing","F06E00","1"
"23","333112","Lawn and garden equipment manufacturing","F06E00","3"
"24","333120","Construction machinery manufacturing","F06E00","27"
"25","33329A","Other industrial machinery manufacturing","F06E00","16"
"26","333314","Optical instrument and lens manufacturing","F06E00","432"
"27","333316","Photographic and photocopying equipment manufacturing","F06E00","9"
"28","333318","Other commercial and service industry machinery manufacturing","F06E00","94"
"29","333415","Air conditioning, refrigeration, and warm air heating equipment manufacturing","F06E00","152"
"30","333413","Industrial and commercial fan and blower and air purification equipment manufacturing","F06E00",""
"31","333517","Machine tool manufacturing","F06E00","6"
"32","333611","Turbine and turbine generator set units manufacturing","F06E00","372"
"33","333618","Other engine equipment manufacturing","F06E00",""
"34","333912","Air and gas compressor manufacturing","F06E00","13"
"35","33391A","Pump and pumping equipment manufacturing","F06E00","123"
"36","333920","Material handling equipment manufacturing","F06E00","40"
"37","333991","Power-driven handtool manufacturing","F06E00","0"
"38","333993","Packaging machinery manufacturing","F06E00",""
"39","333994","Industrial process furnace and oven manufacturing","F06E00",""
"40","33399A","Other general purpose machinery manufacturing","F06E00","4"
"41","33399B","Fluid power process machinery","F06E00","36"
"42","334111","Electronic computer manufacturing","F06E00","952"
"43","334112","Computer storage device manufacturing","F06E00","1,090"
"44","334118","Computer terminals and other computer peripheral equipment manufacturing","F06E00","74"
"45","334210","Telephone apparatus manufacturing","F06E00","3,664"
