dig_code,dig_desc,type,count
1111A0,Oilseed farming,NA,1
1111B0,Grain farming,NA,1
111200,Vegetable and melon farming,NA,1
111300,Fruit and tree nut farming,NA,1
111400,"Greenhouse, nursery, and floriculture production",NA,1
111900,Other crop farming,NA,1
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",NA,1
112120,Dairy cattle and milk production,NA,1
112A00,"Animal production, except cattle and poultry and eggs",NA,1
112300,Poultry and egg production,NA,1
113000,Forestry and logging,NA,1
114000,"Fishing, hunting and trapping",NA,1
115000,Support activities for agriculture and forestry,NA,1
211000,Oil and gas extraction,NA,1
212100,Coal mining,NA,1
2122A0,"Iron, gold, silver, and other metal ore mining",Equipment,1
212230,"Copper, nickel, lead, and zinc mining",NA,1
212310,Stone mining and quarrying,NA,1
2123A0,Other nonmetallic mineral mining and quarrying,NA,1
213111,Drilling oil and gas wells,Structures,1
21311A,Other support activities for mining,Structures,1
221100,"Electric power generation, transmission, and distribution",NA,1
221200,Natural gas distribution,NA,1
221300,"Water, sewage and other systems",NA,1
230301,Nonresidential maintenance and repair,NA,1
230302,Residential maintenance and repair,NA,1
233210,Health care structures,Structures,1
233230,Manufacturing structures,Structures,1
233240,Power and communication structures,Structures,1
233262,Educational and vocational structures,Structures,1
233293,Highways and streets,Structures,1
2332A0,"Commercial structures, including farm structures",Structures,1
2332B0,Other nonresidential structures,Structures,1
233411,Single-family residential structures,Structures,1
233412,Multifamily residential structures,Structures,1
2334A0,Other residential structures,Structures,1
321100,Sawmills and wood preservation,NA,1
321200,"Veneer, plywood, and engineered wood product manufacturing",NA,1
321910,Millwork,NA,1
3219A0,All other wood product manufacturing,Structures,1
327100,Clay product and refractory manufacturing,NA,1
327200,Glass and glass product manufacturing,NA,1
327310,Cement manufacturing,NA,1
327320,Ready-mix concrete manufacturing,NA,1
327330,"Concrete pipe, brick, and block manufacturing",NA,1
327390,Other concrete product manufacturing,NA,1
327400,Lime and gypsum product manufacturing,NA,1
327910,Abrasive product manufacturing,NA,1
327991,Cut stone and stone product manufacturing,NA,1
327992,Ground or treated mineral and earth manufacturing,NA,1
