"","dig_code","dig_desc","variable","inv_12"
"1","1111A0","Oilseed farming","F06E00",""
"2","1111B0","Grain farming","F06E00",""
"3","111200","Vegetable and melon farming","F06E00",""
"4","111300","Fruit and tree nut farming","F06E00",""
"5","111400","Greenhouse, nursery, and floriculture production","F06E00",""
"6","111900","Other crop farming","F06E00",""
"7","112120","Dairy cattle and milk production","F06E00",""
"8","1121A0","Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming","F06E00",""
"9","112300","Poultry and egg production","F06E00",""
"10","112A00","Animal production, except cattle and poultry and eggs","F06E00",""
"11","113000","Forestry and logging","F06E00",""
"12","114000","Fishing, hunting and trapping","F06E00",""
"13","115000","Support activities for agriculture and forestry","F06E00",""
"14","211000","Oil and gas extraction","F06E00",""
"15","212100","Coal mining","F06E00",""
"16","212230","Copper, nickel, lead, and zinc mining","F06E00",""
"17","2122A0","Iron, gold, silver, and other metal ore mining","F06E00",""
"18","212310","Stone mining and quarrying","F06E00",""
"19","2123A0","Other nonmetallic mineral mining and quarrying","F06E00",""
"20","213111","Drilling oil and gas wells","F06E00",""
"21","21311A","Other support activities for mining","F06E00",""
"22","221100","Electric power generation, transmission, and distribution","F06E00",""
"23","221200","Natural gas distribution","F06E00",""
"24","221300","Water, sewage and other systems","F06E00",""
"25","233210","Health care structures","F06E00",""
"26","233262","Educational and vocational structures","F06E00",""
"27","230301","Nonresidential maintenance and repair","F06E00",""
"28","230302","Residential maintenance and repair","F06E00",""
"29","2332A0","Office and commercial structures","F06E00",""
"30","233412","Multifamily residential structures","F06E00",""
"31","2334A0","Other residential structures","F06E00",""
"32","233230","Manufacturing structures","F06E00",""
"33","2332D0","Other nonresidential structures","F06E00",""
"34","233240","Power and communication structures","F06E00",""
"35","233411","Single-family residential structures","F06E00",""
"36","2332C0","Transportation structures and highways and streets","F06E00",""
"37","321100","Sawmills and wood preservation","F06E00",""
"38","321200","Veneer, plywood, and engineered wood product manufacturing","F06E00",""
"39","321910","Millwork","F06E00",""
"40","3219A0","All other wood product manufacturing","F06E00",""
"41","327100","Clay product and refractory manufacturing","F06E00",""
"42","327200","Glass and glass product manufacturing","F06E00",""
"43","327310","Cement manufacturing","F06E00",""
"44","327320","Ready-mix concrete manufacturing","F06E00",""
"45","327330","Concrete pipe, brick, and block manufacturing","F06E00",""
"46","327390","Other concrete product manufacturing","F06E00",""
"47","327400","Lime and gypsum product manufacturing","F06E00",""
"48","327910","Abrasive product manufacturing","F06E00",""
"49","327991","Cut stone and stone product manufacturing","F06E00",""
"50","327992","Ground or treated mineral and earth manufacturing","F06E00",""
"51","327993","Mineral wool manufacturing","F06E00",""
"52","327999","Miscellaneous nonmetallic mineral products","F06E00",""
"53","331110","Iron and steel mills and ferroalloy manufacturing","F06E00",""
"54","331200","Steel product manufacturing from purchased steel","F06E00",""
"55","331313","Alumina refining and primary aluminum production","F06E00",""
"56","33131B","Aluminum product manufacturing from purchased aluminum","F06E00",""
"57","331410","Nonferrous Metal (except Aluminum) Smelting and Refining","F06E00",""
"58","331420","Copper rolling, drawing, extruding and alloying","F06E00",""
"59","331490","Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying","F06E00",""
"60","331510","Ferrous metal foundries","F06E00",""
"61","331520","Nonferrous metal foundries","F06E00",""
"62","332114","Custom roll forming","F06E00",""
"63","33211A","All other forging, stamping, and sintering","F06E00",""
"64","332119","Metal crown, closure, and other metal stamping (except automotive)","F06E00",""
"65","332200","Cutlery and handtool manufacturing","F06E00","4"
"66","332310","Plate work and fabricated structural product manufacturing","F06E00",""
"67","332320","Ornamental and architectural metal products manufacturing","F06E00",""
"68","332410","Power boiler and heat exchanger manufacturing","F06E00",""
"69","332420","Metal tank (heavy gauge) manufacturing","F06E00",""
"70","332430","Metal can, box, and other metal container (light gauge) manufacturing","F06E00","2"
"71","332500","Hardware manufacturing","F06E00",""
"72","332600","Spring and wire product manufacturing","F06E00",""
"73","332710","Machine shops","F06E00",""
"74","332720","Turned product and screw, nut, and bolt manufacturing","F06E00",""
"75","332800","Coating, engraving, heat treating and allied activities","F06E00",""
"76","332913","Plumbing fixture fitting and trim manufacturing","F06E00",""
"77","33291A","Valve and fittings other than plumbing","F06E00","331"
"78","332991","Ball and roller bearing manufacturing","F06E00",""
"79","332996","Fabricated pipe and pipe fitting manufacturing","F06E00","2"
"80","33299A","Ammunition, arms, ordnance, and accessories manufacturing","F06E00","2,505"
"81","332999","Other fabricated metal manufacturing","F06E00","4"
"82","333111","Farm machinery and equipment manufacturing","F06E00","1"
"83","333112","Lawn and garden equipment manufacturing","F06E00","3"
"84","333120","Construction machinery manufacturing","F06E00","114"
"85","333130","Mining and oil and gas field machinery manufacturing","F06E00",""
"86","333242","Semiconductor machinery manufacturing","F06E00",""
"87","33329A","Other industrial machinery manufacturing","F06E00","19"
"88","333314","Optical instrument and lens manufacturing","F06E00","662"
"89","333316","Photographic and photocopying equipment manufacturing","F06E00","4"
"90","333318","Other commercial and service industry machinery manufacturing","F06E00","367"
"91","333414","Heating equipment (except warm air furnaces) manufacturing","F06E00",""
"92","333415","Air conditioning, refrigeration, and warm air heating equipment manufacturing","F06E00","307"
