yk,yk_code,yk_desc,line,item,dig_code,dig_desc,inv
6,F06E00,Federal national defense: Gross investment in equipment,24,      Aircraft,336411,Aircraft manufacturing,12548.00
6,F06E00,Federal national defense: Gross investment in equipment,24,      Aircraft,336412,Aircraft engine and engine parts manufacturing,347.00
6,F06E00,Federal national defense: Gross investment in equipment,25,      Missiles,334511,"Search, detection, and navigation instruments manufacturing",580.00
6,F06E00,Federal national defense: Gross investment in equipment,25,      Missiles,336414,Guided missile and space vehicle manufacturing,3723.00
6,F06E00,Federal national defense: Gross investment in equipment,26,      Ships,336612,Boat building,84.00
6,F06E00,Federal national defense: Gross investment in equipment,26,      Ships,33299A,"Ammunition, arms, ordnance, and accessories manufacturing",2156.00
6,F06E00,Federal national defense: Gross investment in equipment,26,      Ships,336611,Ship building and repairing,8003.00
6,F06E00,Federal national defense: Gross investment in equipment,27,      Vehicles,336112,Light truck and utility vehicle manufacturing,7.00
6,F06E00,Federal national defense: Gross investment in equipment,27,      Vehicles,336111,Automobile manufacturing,16.00
6,F06E00,Federal national defense: Gross investment in equipment,27,      Vehicles,336500,Railroad rolling stock manufacturing,8.00
6,F06E00,Federal national defense: Gross investment in equipment,27,      Vehicles,336999,All other transportation equipment manufacturing,49.00
6,F06E00,Federal national defense: Gross investment in equipment,27,      Vehicles,336212,Truck trailer manufacturing,78.00
6,F06E00,Federal national defense: Gross investment in equipment,27,      Vehicles,336120,Heavy duty truck manufacturing,417.00
6,F06E00,Federal national defense: Gross investment in equipment,27,      Vehicles,336992,"Military armored vehicle, tank, and tank component manufacturing",5640.00
6,F06E00,Federal national defense: Gross investment in equipment,28,      Electronics,334111,Electronic computer manufacturing,2001.00
6,F06E00,Federal national defense: Gross investment in equipment,28,      Electronics,334510,Electromedical and electrotherapeutic apparatus manufacturing,537.00
6,F06E00,Federal national defense: Gross investment in equipment,28,      Electronics,334515,Electricity and signal testing instruments manufacturing,2608.00
6,F06E00,Federal national defense: Gross investment in equipment,28,      Electronics,541512,Computer systems design services,1837.00
6,F06E00,Federal national defense: Gross investment in equipment,28,      Electronics,334112,Computer storage device manufacturing,378.00
6,F06E00,Federal national defense: Gross investment in equipment,28,      Electronics,33411A,Computer terminals and other computer peripheral equipment manufacturing,506.00
6,F06E00,Federal national defense: Gross investment in equipment,28,      Electronics,334210,Telephone apparatus manufacturing,1700.00
6,F06E00,Federal national defense: Gross investment in equipment,28,      Electronics,334513,Industrial process variable instruments manufacturing,4.00
