dig_code,dig_desc,sig_code_12,sig_code_07,sig_desc_07,sig_desc_12
111200,Vegetable and melon farming,111CA,110C,Farms,Farms
111300,Fruit and tree nut farming,111CA,110C,Farms,Farms
111400,"Greenhouse, nursery, and floriculture production",111CA,110C,Farms,Farms
111900,Other crop farming,111CA,110C,Farms,Farms
112120,Dairy cattle and milk production,111CA,110C,Farms,Farms
112300,Poultry and egg production,111CA,110C,Farms,Farms
113000,Forestry and logging,113FF,113F,"Forestry, fishing, and related activities","Forestry, fishing, and related activities"
114000,"Fishing, hunting and trapping",113FF,113F,"Forestry, fishing, and related activities","Forestry, fishing, and related activities"
115000,Support activities for agriculture and forestry,113FF,113F,"Forestry, fishing, and related activities","Forestry, fishing, and related activities"
211000,Oil and gas extraction,211,2110,Oil and gas extraction,Oil and gas extraction
212100,Coal mining,212,2120,"Mining, except oil and gas","Mining, except oil and gas"
212230,"Copper, nickel, lead, and zinc mining",212,2120,"Mining, except oil and gas","Mining, except oil and gas"
212310,Stone mining and quarrying,212,2120,"Mining, except oil and gas","Mining, except oil and gas"
213111,Drilling oil and gas wells,213,2130,Support activities for mining,Support activities for mining
221100,"Electric power generation, transmission, and distribution",22,2200,Utilities,Utilities
221200,Natural gas distribution,22,2200,Utilities,Utilities
221300,"Water, sewage and other systems",22,2200,Utilities,Utilities
230301,Nonresidential maintenance and repair,23,2300,Construction,Construction
230302,Residential maintenance and repair,23,2300,Construction,Construction
233210,Health care structures,23,2300,Construction,Construction
233230,Manufacturing structures,23,2300,Construction,Construction
233240,Power and communication structures,23,2300,Construction,Construction
233262,Educational and vocational structures,23,2300,Construction,Construction
233411,Single-family residential structures,23,2300,Construction,Construction
233412,Multifamily residential structures,23,2300,Construction,Construction
311111,Dog and cat food manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311119,Other animal food manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311210,Flour milling and malt manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311221,Wet corn milling,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311225,Fats and oils refining and blending,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311230,Breakfast cereal manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311300,Sugar and confectionery product manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311410,Frozen food manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311420,"Fruit and vegetable canning, pickling, and drying",311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311513,Cheese manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311514,"Dry, condensed, and evaporated dairy product manufacturing",311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311520,Ice cream and frozen dessert manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311615,Poultry processing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311700,Seafood product preparation and packaging,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311810,Bread and bakery product manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311910,Snack food manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311920,Coffee and tea manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311930,Flavoring syrup and concentrate manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311940,Seasoning and dressing manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
311990,All other food manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
312110,Soft drink and ice manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
312120,Breweries,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
312130,Wineries,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
312140,Distilleries,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
312200,Tobacco product manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
313100,"Fiber, yarn, and thread mills",313TT,313T,Textile mills and textile product mills,Textile mills and textile product mills
313200,Fabric mills,313TT,313T,Textile mills and textile product mills,Textile mills and textile product mills
313300,Textile and fabric finishing and fabric coating mills,313TT,313T,Textile mills and textile product mills,Textile mills and textile product mills
314110,Carpet and rug mills,313TT,313T,Textile mills and textile product mills,Textile mills and textile product mills
314120,Curtain and linen mills,313TT,313T,Textile mills and textile product mills,Textile mills and textile product mills
314900,Other textile product mills,313TT,313T,Textile mills and textile product mills,Textile mills and textile product mills
315000,Apparel manufacturing,315AL,315A,Apparel and leather and allied products,Apparel and leather and allied products
316000,Leather and allied product manufacturing,315AL,315A,Apparel and leather and allied products,Apparel and leather and allied products
321100,Sawmills and wood preservation,321,3210,Wood products,Wood products
321200,"Veneer, plywood, and engineered wood product manufacturing",321,3210,Wood products,Wood products
321910,Millwork,321,3210,Wood products,Wood products
322110,Pulp mills,322,3220,Paper products,Paper products
322120,Paper mills,322,3220,Paper products,Paper products
322130,Paperboard mills,322,3220,Paper products,Paper products
