"dig_code","dig_desc","1	Nonresidential private fixed investment in structures ","2	Nonresidential private fixed investment in equipment","3	Nonresidential private fixed investment in IPP","4	Residential private fixed investment","5  Federal national defense: Gross investment in structures","6  Federal national defense: Gross investment in equipment","7  Federal national defense: Gross investment in intellectual property products","8  Federal nondefense: Gross investment in structures","9  Federal nondefense: Gross investment in equipment","10  Federal nondefense: Gross investment in intellectual property products","11  State and local: Gross investment in structures","12  State and local: Gross investment in equipment","13  State and local: Gross investment in intellectual property products"
"1111A0","Oilseed farming",0,0,0,0,0,0,0,0,0,0,0,0,0
"1111B0","Grain farming",0,0,0,0,0,0,0,0,0,0,0,0,0
"111200","Vegetable and melon farming",0,0,0,0,0,0,0,0,0,0,0,0,0
"111300","Fruit and tree nut farming",0,0,0,0,0,0,0,0,0,0,0,0,0
"111400","Greenhouse, nursery, and floriculture production",0,0,0,0,0,0,0,0,0,0,0,0,0
"111900","Other crop farming",0,0,0,0,0,0,0,0,0,0,0,0,0
"1121A0","Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0,0,0,0,0,0,0,0,0,0,0,0,0
"112120","Dairy cattle and milk production",0,0,0,0,0,0,0,0,0,0,0,0,0
"112A00","Animal production, except cattle and poultry and eggs",0,0,0,0,0,0,0,0,0,0,0,0,0
"112300","Poultry and egg production",0,0,0,0,0,0,0,0,0,0,0,0,0
"113000","Forestry and logging",0,0,0,0,0,0,0,0,0,0,0,0,0
"114000","Fishing, hunting and trapping",0,0,0,0,0,0,0,0,0,0,0,0,0
"115000","Support activities for agriculture and forestry",0,0,0,0,0,0,0,0,0,0,0,0,0
"211000","Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0
"212100","Coal mining",0,0,0,0,0,0,0,0,0,0,0,0,0
"2122A0","Iron, gold, silver, and other metal ore mining",0,177.495171646696,0,0,0,0,0,0,0,0,0,0,0
"212230","Copper, nickel, lead, and zinc mining",0,0,0,0,0,0,0,0,0,0,0,0,0
